id,number,cluster,cluster_label,title
ref-7cac0cfb,1,C1,"clients, fl, llms",Deep learning with differential privacy
ref-9861f587,2,C5,"synthetic data, ieee, epfl",How protective are synthetic data?
ref-e5b698e9,3,C7,"cookies, ons, safes",New process at the ONS aims to speed up output clearance
ref-48fec654,4,C2,"zk, zero knowledge, protocols",Communication-efficient secure logistic regression
ref-b8270081,5,C4,"encryption, fhe, cloud",General functional bootstrapping using CKKS
ref-f015859d,6,C6,"anonymity, record linkage, nist",Privacy-preserving data sharing across financial institutions
ref-8a85c4e3,7,C4,"encryption, fhe, cloud",HEIR: a universal compiler for homomorphic encryption
ref-4d3ff31d,8,C4,"encryption, fhe, cloud",
ref-1bc460eb,9,C2,"zk, zero knowledge, protocols",Collaborative AI model training with Rhino Federated Computing on AWS
ref-5b49303e,10,C3,"pets, privacy enhancing technologies, dp",State-of-the-art and development of privacy-enhancing technologies
ref-3b5fb542,11,C3,"pets, privacy enhancing technologies, dp",Geo-indistinguishability: differential privacy for location-based systems
ref-c38dce0d,12,C4,"encryption, fhe, cloud",Private Cloud Compute: a new frontier for AI privacy in the cloud
ref-eeb53da8,13,C2,"zk, zero knowledge, protocols",From keys to databases - real-world applications of secure multi-party computation
ref-7aa32465,14,C4,"encryption, fhe, cloud",SCONE: secure Linux containers with Intel SGX
ref-ba20c1ba,15,C5,"synthetic data, ieee, epfl",
ref-fa01a975,16,C2,"zk, zero knowledge, protocols",Bringing data minimization to digital wallets at scale with general-purpose zero-knowledge proofs
ref-48635619,17,C4,"encryption, fhe, cloud","Towards the AlexNet moment for homomorphic encryption: HCNN, the first homomorphic CNN on encrypted data with GPUs"
ref-47746551,18,C3,"pets, privacy enhancing technologies, dp",Differential privacy has disparate impact on model accuracy
ref-a237caa1,19,C1,"clients, fl, llms",Secure stateful aggregation: a practical protocol with applications in differentially-private federated learning
ref-be892c89,20,other,,Fool
ref-d124970b,21,C6,"anonymity, record linkage, nist",
ref-be06862c,22,C3,"pets, privacy enhancing technologies, dp",Program logic for differential privacy: a survey
ref-bd0a88ac,23,C5,"synthetic data, ieee, epfl",FedSyn: synthetic data generation using federated learning
ref-9ba51dec,24,C5,"synthetic data, ieee, epfl",Privacy and synthetic datasets
ref-da52afa2,25,C4,"encryption, fhe, cloud",
ref-8f7ae4c7,26,C5,"synthetic data, ieee, epfl",Machine learning with adversaries: Byzantine-tolerant gradient descent
ref-2e94c168,27,C2,"zk, zero knowledge, protocols",Secure multiparty computation goes live
