id,number,text_strategy,source,status,http_status,n_chars,title_match,title_seen,text
ref-7cac0cfb,1,abstract,semantic_scholar,ok,200,708,1.0,Deep Learning with Differential Privacy,"Machine learning techniques based on neural networks are achieving remarkable results in a wide variety of domains. Often, the training of models requires large, representative datasets, which may be crowdsourced and contain sensitive information. The models should not expose private information in these datasets. Addressing this goal, we develop new algorithmic techniques for learning and a refined analysis of privacy costs within the framework of differential privacy. Our implementation and experiments demonstrate that we can train deep neural networks with non-convex objectives, under a modest privacy budget, and at a manageable cost in software complexity, training efficiency, and model quality."
ref-9861f587,2,abstract,openalex,ok,200,707,1.0,How Protective Are Synthetic Data?,"This short paper provides a synthesis of the statistical disclosure limitation and computer science data privacy approaches to measuring the confidentiality protections provided by fully synthetic data. Since all elements of the data records in the release file derived from fully synthetic data are sampled from an appropriate probability distribution, they do not represent “real data,” but there is still a disclosure risk. In SDL this risk is summarized by the inferential disclosure probability. In privacy-protected database queries, this risk is measured by the differential privacy ratio. The two are closely related. This result (not new) is demonstrated and examples are provided from recent work."
ref-e5b698e9,3,full,web_page,ok,200,1500,1.0,New process at the ONS aims to speed up output clearance - ADR UK,"The Office for National Statistics Secure Research Service (ONS SRS) has introduced a new model for output clearance. The new model has a single clearance le... Category: Office for National Statistics Note July 2025: This article mentions the Integrated Data Service. The ONS will continue to operate the SRS indefinitely providing secure access to data for accredited researchers in partnership with ADR UK. Find out more . The Office for National Statistics Secure Research Service (ONS SRS) has introduced a new model for output clearance. The new model has a single clearance level and should provide more flexibility and efficiency for the diverse users of the service. This aims to improve and speed up the output clearance service, as well as help smooth the transition to the Integrated Data Service. The ONS SRS holds a wealth de-identified datasets which accredited researchers can apply to access through a highly secure online portal. As researchers with approved projects progress, they need to remove information from the secure environment in the form of an ‘output’. Outputs may include, for example, tables of results, descriptive text, or full papers. ONS SRS officers thoroughly check all the outputs requested by researchers to ensure that they align with project aims, and to ensure the confidentiality of subjects in the data used. This stage of checking the outputs refers to the “safe output” of the Five Safes , a set of established safeguards to ensure data is kept secure."
ref-48fec654,4,abstract,pdf,ok,200,1500,,,"Communication-Efficient Secure Logistic Regression Amit Agarwal Stanislav Peceny UIUC, Champaign Georgia Tech, Atlanta Google, New York Google, New York amita2@illinois.edu stan.peceny@gatech.edu Mariana Raykova Phillipp Schoppmann Karn Seth Google, New York Google, New York Google, New York marianar@google.com schoppmann@google.com karn@google.com Abstract—We present a novel construction that enables two We consider the setting of two party computation parties to securely train a logistic regression model on (2PC) for secure logistic regression training where each private secret-shared data. Our goal is to minimize online partyholdsacryptographicshareoftheinputdata.Secure communication and round complexity, while still allowing protocols in this setting can be used to enable two parties for an efficient offline phase. to train a logistic regression model on their joint data by As part of our construction, we develop many building first secret-sharing their inputs. But they also enable pro- blocks of independent interest. These include a new ap- cessing of data where neither of the computation parties proximation technique for the sigmoid function that results owns the dataset and the receiver of the output may be a different party, assuming the computation parties are in a secure protocol with better communication, protocols not colluding. The latter setting is relevant in scenarios for secure powers evaluation and secure spline computation where the dataset consists of entr"
ref-b8270081,5,abstract,title_fallback,fallback,,0,,,
ref-f015859d,6,summary,pdf,ok,200,1500,,,"Privacy-Preserving Data Sharing across Financial Institutions Andreea Alexandru Kurt Rohloff Cryptography Scientist Co-founder, CTO krohloff@dualitytech.com aalexandru@dualitytech.com Presented at NIST Workshop on Privacy-Enhancing Cryptography 2024 NIST WPEC 09/25/2024 Agenda Introduction 1. UK Information Commissioner’s Office use-case 2. Singapore IMDA PET Sandbox – Mastercard use-case 3. Driving collaboration in public-private partnerships 4. Conclusions 5. NIST WPEC 09/25/2024 2 Introduction ▪ Government and financial institutions need to handle and collaborate on sensitive information. • Personal, financial, and proprietary data -- breaches could have severe consequences • Enterprise data resides in silos across departments, across entities and across geographies ▪ Ensuring that this data is protected while still accessible for use is critical to maintaining public trust and adhering to legal standards • Sharing PII/CI: anti-financial crime legislations such as USA PATRIOT Act and EU 5th Anti-Money Laundering Directive • Regulations for data privacy, data security, data sovereignty ➢ Traditional methods offer awkward guardrails to protect data in-use ➢ Need for open transparent approaches to privacy-protected data collaboration. NIST WPEC 09/25/2024 3 Introduction ▪ Private search (Private Set Intersection, Private Information Retrieval) • Ability to query external data without revealing: The query to the data owner or o The dataset to the inquirer o ▪ Fully Homomorphic"
ref-8a85c4e3,7,abstract,arxiv,ok,200,1240,1.0,HEIR: A Universal Compiler for Homomorphic Encryption,"This work presents Homomorphic Encryption Intermediate Representation (HEIR), a unified approach to building homomorphic encryption (HE) compilers. HEIR aims to support all mainstream techniques in homomorphic encryption, integrate with all major software libraries and hardware accelerators, and advance the field by providing a platform for research and benchmarking. Built on the MLIR compiler framework, HEIR introduces HE-specific abstraction layers at which existing optimizations and new research ideas may be easily implemented. Although many HE optimization techniques have been proposed, it remains difficult to combine or compare them effectively. HEIR provides a means to effectively explore the space of HE optimizations. HEIR addresses the entire HE stack and includes support for various frontends, including Python. The contribution of this work includes: (1) We introduce HEIR as a framework for building HE compilers. (2) We validate HEIR's design by porting a large fraction of the HE literature to HEIR, and we argue that HEIR can tackle more complicated and diverse programs than prior literature. (3) We provide evidence that HEIR is emerging as the de facto HE compiler for academic research and industry development."
ref-4d3ff31d,8,manual,web_page,ok,200,1500,,What is Nitro Enclaves? - AWS Nitro Enclaves,"Use the AWS Nitro Enclaves feature of Amazon EC2 to create isolated execution environments, called enclaves, from Amazon EC2 instances. AWS Nitro Enclaves is an Amazon EC2 feature that allows you to create isolated execution environments, called enclaves , from Amazon EC2 instances. Enclaves are separate, hardened, and highly-constrained virtual machines. They provide only secure local socket connectivity with their parent instance. They have no persistent storage, interactive access, or external networking. Users cannot SSH into an enclave, and the data and applications inside the enclave cannot be accessed by the processes, applications, or users (root or admin) of the parent instance. Using Nitro Enclaves, you can secure your most sensitive data, such as personally identifiable information (PII), and your data processing applications. Nitro Enclaves is processor agnostic and it is supported on most Intel, AMD, and AWS Graviton-based Amazon EC2 instance types built on the AWS Nitro System. Nitro Enclaves also supports an attestation feature, which allows you to verify an enclave's identity and ensure that only authorized code is running inside it. Nitro Enclaves is integrated with the AWS Key Management Service, which provides built-in support for attestation and enables you to prepare and protect your sensitive data for processing inside enclaves. Nitro Enclaves can also be used with other key management services. Nitro Enclaves use the same Nitro Hypervisor technology tha"
ref-1bc460eb,9,full,web_page,ok,200,421,1.0,Collaborative AI Model Training with Rhino Federated Computing on AWS | AWS for Industries,"Introduction Across the healthcare and life sciences (HCLS) industry, organizations are generating large volumes of data with potential to improve patient care. However, transforming this data into meaningful insights can be challenging for many institutions. Privacy regulations like Health Insurance Portability and Accountability Act (HIPAA), EU General Data Protection Regulation (GDPR), and requirements for data […]"
ref-5b49303e,10,abstract,web_page,ok,200,1269,1.0,State-of-the-Art and Development of Privacy-Enhancing Technologies,"Privacy-Enhancing Technologies (PETs) have been developed to securely process and confidently share sensitive data. The two main categories of PETs are those that focus on input privacy and those that focus on output privacy. Input privacy concerns how parties can manipulate data to prevent it from being used outside of a defined context, while output privacy focuses on modifying calculation results so that output data cannot be used to trace back to original inputs. In this document, we will provide an introduction and overview of PETs by exploring various approaches in the literature. We will conclude this document by discussing the challenges in the adoption of these privacy-preserving technologies. Our aim throughout this paper is to provide a comprehensive understanding of PETs, their application, and the hurdles that must be overcome for widespread adoption. The implementation of Privacy-Enhancing Technologies (PETs) enables the creation of secure data life cycles, promoting collaboration, trust, and security among those with a stake in the data. Keyphrases : Fully Homomorphic Encryption , Multiparty Computation , Privacy Enhancing Technologies , Threshold secret sharing , differential privacy , private set intersection , zero-knowledge proofs"
