id,suggested_primary_topic,primary_score,runner_up,runner_up_score,margin,confident,suggested_pet_families
ref-7cac0cfb,mechanism,0.0577,survey,0.0,0.0577,True,differential_privacy
ref-9861f587,,0.0,,0.0,0.0,False,
ref-e5b698e9,survey,0.0108,deployment,0.0,0.0108,False,
ref-48fec654,mechanism,0.0188,survey,0.0,0.0188,False,
ref-b8270081,mechanism,0.0431,survey,0.0,0.0431,False,fhe
ref-f015859d,mechanism,0.0343,survey,0.0,0.0343,False,
ref-8a85c4e3,systems,0.0964,mechanism,0.0179,0.0785,True,fhe
ref-4d3ff31d,,0.0,,0.0,0.0,False,
ref-1bc460eb,assurance,0.0221,survey,0.0,0.0221,False,federated_learning
ref-5b49303e,survey,0.2934,mechanism,0.0062,0.2871,True,
ref-3b5fb542,mechanism,0.0341,survey,0.0,0.0341,False,differential_privacy
ref-c38dce0d,survey,0.0114,mechanism,0.0052,0.0062,False,
ref-eeb53da8,mechanism,0.1136,deployment,0.0844,0.0292,False,mpc
ref-7aa32465,mechanism,0.0154,survey,0.0,0.0154,False,tee
ref-ba20c1ba,deployment,0.0421,survey,0.0085,0.0337,False,synthetic_data
ref-fa01a975,mechanism,0.0479,survey,0.0,0.0479,False,zkp
ref-48635619,mechanism,0.0194,survey,0.0185,0.0009,False,fhe
ref-47746551,mechanism,0.0338,assurance,0.0258,0.0081,False,differential_privacy
ref-a237caa1,mechanism,0.0428,survey,0.0,0.0428,False,federated_learning
ref-be892c89,,0.0,,0.0,0.0,False,
ref-d124970b,,0.0,,0.0,0.0,False,
ref-be06862c,survey,0.0454,mechanism,0.0422,0.0032,False,differential_privacy
ref-bd0a88ac,,0.0,,0.0,0.0,False,
ref-9ba51dec,survey,0.0152,mechanism,0.0107,0.0045,False,synthetic_data
ref-da52afa2,mechanism,0.0139,survey,0.0083,0.0056,False,
ref-8f7ae4c7,assurance,0.0381,survey,0.0,0.0381,False,
ref-2e94c168,mechanism,0.0184,survey,0.0,0.0184,False,
ref-191956c4,mechanism,0.0246,survey,0.0,0.0246,False,federated_learning
ref-17bd4703,survey,0.0102,deployment,0.0,0.0102,False,federated_learning
ref-e4c2c4be,survey,0.098,mechanism,0.0075,0.0905,True,
ref-47d86e16,assurance,0.0354,mechanism,0.029,0.0064,False,
ref-4c472b2f,,0.0,,0.0,0.0,False,
ref-09919479,survey,0.065,deployment,0.0,0.065,True,
ref-68865c3d,mechanism,0.0309,survey,0.0,0.0309,False,differential_privacy
ref-53e3d330,mechanism,0.0563,systems,0.0284,0.028,False,zkp
ref-ce16d72a,survey,0.0347,deployment,0.0,0.0347,False,federated_learning
ref-1aa98274,survey,0.0863,deployment,0.0,0.0863,True,zkp
ref-c4bbe22a,mechanism,0.0161,survey,0.0121,0.0039,False,fhe
ref-9584e92f,mechanism,0.0185,survey,0.0113,0.0072,False,fhe
ref-4ded63a2,survey,0.0112,deployment,0.0,0.0112,False,zkp
ref-059496b7,mechanism,0.0147,survey,0.014,0.0007,False,fhe
ref-f36df8ad,mechanism,0.044,assurance,0.0224,0.0216,False,fhe
ref-d826cfa9,evaluation,0.0655,systems,0.0289,0.0366,False,tee
ref-6213a883,mechanism,0.0434,survey,0.0115,0.0319,False,differential_privacy
ref-ab715d81,,0.0,,0.0,0.0,False,
ref-bdf51c16,,0.0,,0.0,0.0,False,
ref-ce445534,survey,0.0167,mechanism,0.0096,0.0072,False,
ref-d8d19871,systems,0.0311,mechanism,0.0116,0.0195,False,
ref-a45a2014,mechanism,0.0241,survey,0.0,0.0241,False,
ref-7d151531,governance,0.1337,survey,0.0,0.1337,True,
ref-043fec3a,evaluation,0.0268,survey,0.0083,0.0184,False,
ref-8b5fc9ab,governance,0.0426,survey,0.0,0.0426,False,
ref-09582b87,,0.0,,0.0,0.0,False,
ref-c6b39adb,mechanism,0.0682,survey,0.0,0.0682,True,differential_privacy
ref-fd010a5e,,0.0,,0.0,0.0,False,
ref-d7f19b3c,systems,0.0362,assurance,0.0309,0.0054,False,synthetic_data
ref-8e985722,survey,0.0092,deployment,0.0,0.0092,False,
ref-f5c0af0d,mechanism,0.0376,survey,0.0,0.0376,False,differential_privacy
ref-041ae1ff,mechanism,0.0757,evaluation,0.0288,0.0469,False,
ref-dcabdb81,survey,0.0999,mechanism,0.043,0.0569,True,differential_privacy
ref-91877f54,deployment,0.0969,evaluation,0.0301,0.0668,True,zkp
ref-c738d0de,mechanism,0.0064,survey,0.0,0.0064,False,
ref-9a0bca10,evaluation,0.1054,survey,0.0163,0.0891,True,zkp
ref-b7f652d4,governance,0.0355,mechanism,0.019,0.0165,False,
ref-395c1172,governance,0.0348,survey,0.0,0.0348,False,
ref-75a4dceb,survey,0.1036,governance,0.0349,0.0687,True,
ref-336d2ff4,mechanism,0.1498,survey,0.0,0.1498,True,mpc
ref-4ce0b560,assurance,0.1007,survey,0.0,0.1007,True,federated_learning
ref-dcd147cd,mechanism,0.0065,survey,0.0,0.0065,False,
ref-afc03087,governance,0.1464,survey,0.0162,0.1302,True,
ref-22fe84c5,,0.0,,0.0,0.0,False,
ref-aa01e418,survey,0.0108,deployment,0.0,0.0108,False,
ref-f3977460,mechanism,0.0176,survey,0.0,0.0176,False,fhe;federated_learning
ref-b242461d,systems,0.0457,mechanism,0.0353,0.0104,False,differential_privacy
ref-4662b558,assurance,0.0459,deployment,0.0359,0.01,False,
ref-e0b24f9f,mechanism,0.0052,survey,0.0,0.0052,False,federated_learning
ref-8c93b8c7,mechanism,0.018,survey,0.0,0.018,False,fhe
ref-ad359e15,survey,0.0075,mechanism,0.0053,0.0022,False,
ref-9e3c8f43,survey,0.0092,deployment,0.0,0.0092,False,tee;synthetic_data
ref-7f0db960,mechanism,0.0391,survey,0.0331,0.006,False,differential_privacy
ref-41568c27,mechanism,0.0218,survey,0.0,0.0218,False,federated_learning
ref-b0461991,evaluation,0.0381,survey,0.0072,0.0309,False,
ref-7b064f7b,survey,0.042,mechanism,0.0065,0.0356,False,
ref-5799a6c8,evaluation,0.0263,survey,0.0082,0.0181,False,
ref-62a3eea5,,0.0,,0.0,0.0,False,
ref-e355593d,,0.0,,0.0,0.0,False,
ref-c73c7e9b,survey,0.0577,evaluation,0.0549,0.0027,False,
ref-390b6176,mechanism,0.0576,survey,0.0089,0.0487,False,differential_privacy
ref-87fb8dc7,,0.0,,0.0,0.0,False,
ref-4527701c,mechanism,0.0311,survey,0.0,0.0311,False,
ref-42c5757e,governance,0.2387,systems,0.0394,0.1993,True,
ref-47ebd8ed,assurance,0.027,survey,0.0,0.027,False,
ref-a04841e1,systems,0.0395,mechanism,0.016,0.0235,False,fhe
ref-93406e22,systems,0.1238,survey,0.0208,0.1031,True,fhe
ref-49977bd5,mechanism,0.0228,survey,0.006,0.0167,False,differential_privacy
